study_id,breed,dmi_kg,cp_g_kg,ndf_g_kg,adf_g_kg,ee_g_kg,forage_pct,body_weight_kg,milk_yield_kg,additive_type,additive_dose,ch4_g_kg_dmi,ch4_g_day
S121,Holstein,12.75,125.0,499.1,276.4,27.9,81.2,529.7,0.7,nitrate,0.66,18.89,240.9
S122,Crossbred,12.56,269.1,294.3,180.1,50.6,76.0,511.6,23.8,seaweed,1.41,16.58,208.2
S123,Jersey,15.07,251.0,546.3,,23.9,69.6,620.3,5.9,none,0.0,19.47,293.4
S124,Holstein,18.26,224.1,664.2,,56.0,13.9,596.1,9.4,seaweed,2.35,21.86,399.2
S125,Holstein,12.66,87.5,105.4,63.2,49.0,80.8,641.0,31.3,none,0.0,17.4,220.4
S126,Holstein,14.39,151.2,499.9,262.1,,67.7,598.8,11.6,none,0.0,19.48,280.3
S127,Holstein,14.68,52.3,251.0,122.4,47.7,19.5,587.5,40.1,tannin,1.09,16.49,242.2
S128,Holstein,15.0,78.1,689.9,337.4,45.3,64.8,647.0,29.6,lipid,0.4,21.34,320.2
S129,Jersey,16.43,201.8,266.3,141.6,,48.4,603.2,37.5,3-NOP,2.45,16.09,264.3
S130,Holstein,15.7,216.3,510.2,278.5,53.1,43.9,579.1,27.7,lipid,1.12,20.7,324.9
S131,Crossbred,16.52,268.4,471.1,293.2,48.7,11.2,663.8,39.1,lipid,1.38,18.9,312.2
S132,Holstein,14.14,118.2,363.6,210.3,43.4,51.8,581.9,16.3,none,0.0,21.41,302.8
S133,Crossbred,13.75,128.7,555.8,326.9,32.9,10.0,556.7,24.7,none,0.0,21.71,298.5
S134,Holstein,12.96,151.9,588.7,380.7,47.9,16.4,524.7,0.0,tannin,2.46,21.91,284.0
S135,Holstein,15.31,86.3,480.2,255.7,58.3,13.3,617.2,0.0,nitrate,1.27,20.12,308.0
S136,Crossbred,15.95,72.4,611.0,324.2,43.5,95.4,649.2,7.4,3-NOP,0.12,21.5,342.9
S137,Jersey,14.68,153.3,764.7,485.3,46.6,28.5,572.0,26.0,tannin,0.68,23.21,340.7
S138,Holstein,17.47,95.1,379.4,,37.5,35.5,653.5,33.9,tannin,2.45,18.11,316.4
S139,Holstein,9.57,198.7,444.5,264.9,50.2,32.2,456.8,16.7,nitrate,2.47,21.01,201.2
S140,Crossbred,12.72,144.3,101.5,61.0,59.9,89.8,571.7,39.0,nitrate,0.61,17.26,219.4
S141,Other,11.69,236.8,636.7,299.0,26.4,56.3,572.6,16.8,none,0.0,22.03,257.5
S142,Jersey,14.58,205.9,448.3,243.7,28.1,91.9,531.4,7.8,none,0.0,20.51,299.2
S143,Holstein,18.33,115.1,371.6,182.1,41.6,30.0,718.0,26.3,none,0.0,20.75,380.4
S144,Holstein,15.03,236.7,157.3,,39.3,11.5,571.0,18.9,lipid,0.4,14.48,217.7
S145,Holstein,11.62,230.3,700.6,,,55.6,550.5,0.7,lipid,2.06,24.34,282.8
S146,Holstein,17.09,132.7,362.8,184.3,,34.6,576.6,,nitrate,2.35,18.07,308.8
S147,Jersey,10.46,109.5,559.2,340.7,36.2,80.2,454.8,8.8,none,0.0,19.61,205.0
S148,Crossbred,13.49,201.7,195.0,123.2,43.3,87.9,529.4,0.0,seaweed,1.21,16.32,220.1
S149,Holstein,17.13,74.7,749.7,457.7,43.4,47.3,634.0,40.1,none,0.0,20.73,355.1
S150,Crossbred,11.95,88.8,214.9,108.1,,97.1,537.3,24.6,3-NOP,0.91,18.62,222.5
S151,Crossbred,12.31,43.7,229.3,115.8,,55.3,525.3,4.8,none,0.0,16.38,201.6
S152,Crossbred,16.61,226.1,679.7,340.5,,27.1,653.6,24.0,nitrate,0.73,21.8,362.0
S153,Holstein,20.67,197.6,716.3,,51.6,48.9,655.4,38.5,none,0.0,23.76,491.1
S154,Holstein,15.6,207.0,237.9,152.0,,3.7,606.0,33.7,tannin,0.21,16.1,251.3
S155,Holstein,16.1,224.7,413.9,219.5,41.5,80.4,547.7,0.0,other,2.16,19.41,312.6
S156,Holstein,15.82,149.4,594.0,294.0,,10.1,560.6,5.6,tannin,0.29,18.99,300.6
S157,Holstein,13.72,175.1,692.9,429.2,24.0,30.9,526.8,40.5,none,0.0,21.43,294.0
S158,Holstein,11.4,74.7,351.9,186.4,30.9,56.5,515.3,38.4,lipid,1.19,21.84,248.9
S159,Holstein,14.4,68.8,446.1,,41.1,4.3,512.3,2.4,tannin,2.34,19.68,283.3
S160,Holstein,11.2,198.4,599.6,289.2,54.9,7.9,537.9,37.1,3-NOP,0.58,20.12,225.4
S161,Other,15.22,152.2,592.4,342.3,,69.6,512.9,4.4,tannin,0.53,20.67,314.7
S162,Crossbred,12.33,174.3,627.8,380.8,23.6,7.2,481.2,2.8,lipid,1.9,20.64,254.5
S163,Holstein,10.73,221.0,482.3,237.4,43.7,47.7,588.2,34.1,seaweed,1.84,19.37,207.8
S164,Other,14.22,190.5,164.5,104.2,,33.9,589.1,24.1,seaweed,1.78,15.35,218.2
S165,Holstein,17.91,171.5,710.4,,49.4,22.8,677.0,0.0,3-NOP,0.16,22.53,403.5
S166,Holstein,13.02,172.9,684.2,424.0,53.1,18.9,534.9,40.7,none,0.0,20.48,266.6
S167,Crossbred,15.89,113.1,638.1,316.2,43.7,76.3,592.8,0.0,nitrate,2.12,20.56,326.7
S168,Holstein,13.57,49.2,161.2,,43.7,95.2,593.8,2.6,none,0.0,17.98,244.0
S169,Holstein,12.04,144.2,232.6,145.0,33.5,14.0,559.8,27.7,3-NOP,1.55,15.17,182.6
S170,Holstein,15.38,92.2,600.9,307.1,37.9,96.0,619.7,34.8,3-NOP,0.81,22.58,347.4
S171,Holstein,15.59,137.6,108.8,62.4,,59.5,621.5,0.0,none,0.0,16.46,256.6
S172,Jersey,14.34,241.7,761.8,458.6,,64.2,594.6,44.2,3-NOP,2.37,20.18,289.4
S173,Holstein,15.83,96.7,350.6,166.8,,71.0,559.7,30.9,tannin,1.85,18.98,300.5
S174,Holstein,12.56,55.6,584.3,354.2,34.7,70.4,553.5,0.0,none,0.0,19.38,243.4
S175,Holstein,12.79,107.8,699.2,445.9,22.0,82.0,492.9,8.9,none,0.0,23.55,301.3
S176,Holstein,13.27,110.7,362.5,216.0,,48.3,526.6,37.2,lipid,1.5,18.4,244.2
S177,Holstein,11.11,196.9,311.0,167.4,27.7,53.3,537.7,44.9,other,0.9,20.59,228.6
S178,Crossbred,10.71,172.3,508.8,318.2,,32.4,507.6,4.4,3-NOP,1.05,21.04,225.4
S179,Crossbred,15.05,225.4,489.8,272.1,57.8,10.5,601.4,4.5,none,0.0,18.28,275.2
S180,Holstein,19.14,197.4,372.4,223.1,,66.5,646.8,34.4,none,0.0,16.8,321.5
S181,Crossbred,13.88,137.1,504.0,309.5,29.4,3.4,520.5,2.9,none,0.0,18.68,259.4
S182,Holstein,12.21,232.5,731.9,439.0,24.2,27.6,592.0,0.0,3-NOP,1.81,20.23,247.0
S183,Holstein,8.16,81.1,412.4,209.3,33.5,9.4,513.0,40.0,lipid,0.57,20.9,170.5
S184,Holstein,15.02,47.3,227.4,107.7,,19.1,556.7,36.0,nitrate,2.37,16.69,250.7
S185,Holstein,13.2,63.1,350.6,174.5,35.3,63.9,533.6,39.7,none,0.0,20.08,265.0
S186,Crossbred,16.99,211.0,362.2,199.4,50.9,62.8,611.1,29.3,other,1.11,18.67,317.1
S187,Other,12.04,150.1,182.5,100.6,,42.1,534.3,,3-NOP,1.78,16.21,195.1
S188,Holstein,16.42,79.7,204.2,115.7,24.4,9.0,635.7,40.8,none,0.0,16.64,273.2
S189,Holstein,15.28,159.2,560.6,296.5,,43.3,560.3,0.0,3-NOP,1.16,21.74,332.0
S190,Jersey,12.73,77.6,324.9,,,35.3,536.0,12.4,none,0.0,18.65,237.4
S191,Holstein,11.86,204.9,745.2,471.4,36.1,72.0,499.8,39.9,lipid,2.27,21.54,255.3
S192,Holstein,14.79,146.4,259.4,129.5,,57.9,590.2,30.6,3-NOP,2.02,19.3,285.5
S193,Other,16.53,131.2,160.6,95.9,56.9,49.2,628.7,0.0,tannin,2.08,16.24,268.5
S194,Crossbred,14.76,112.6,607.6,,55.3,48.7,591.4,7.0,3-NOP,0.72,20.54,303.3
S195,Other,19.19,189.5,694.7,385.3,,96.6,709.3,42.9,lipid,1.11,19.39,372.2
S196,Holstein,15.83,126.7,283.0,138.0,,75.6,660.8,0.0,tannin,1.43,19.05,301.6
S197,Holstein,11.92,62.5,231.0,140.7,28.5,49.7,556.5,,seaweed,0.21,17.58,209.6
S198,Holstein,16.86,69.6,219.9,141.2,52.8,47.9,555.9,41.1,none,0.0,17.54,295.7
S199,Other,14.17,267.1,449.5,267.2,39.9,2.6,603.2,17.1,lipid,0.88,18.46,261.7
S200,Holstein,12.27,254.6,412.9,261.6,21.4,94.3,524.7,32.4,seaweed,0.78,19.0,233.1
S201,Holstein,16.03,205.7,270.2,174.8,47.3,31.9,645.0,28.8,none,0.0,17.24,276.2
S202,Holstein,15.02,104.2,123.9,64.5,58.0,25.6,596.7,35.4,lipid,0.78,16.6,249.3
S203,Crossbred,14.18,268.8,421.9,243.7,,99.9,590.4,40.4,none,0.0,20.98,297.6
S204,Crossbred,15.38,224.2,748.2,407.6,31.1,71.9,616.2,30.6,none,0.0,22.78,350.4
S205,Jersey,16.9,209.8,538.7,348.7,22.1,4.7,678.4,3.0,seaweed,1.5,20.42,345.1
S206,Holstein,14.89,147.2,431.4,202.2,57.6,6.2,585.3,0.0,none,0.0,18.81,280.2
S207,Crossbred,10.67,105.7,168.6,89.8,,2.6,568.2,42.9,seaweed,0.6,15.35,163.8
S208,Holstein,19.46,64.6,265.4,165.9,41.3,60.0,665.5,43.6,none,0.0,18.29,355.9
S209,Holstein,15.61,253.2,294.3,149.2,,7.2,633.1,43.5,none,0.0,15.92,248.4
S210,Holstein,14.76,148.7,615.4,373.9,38.5,93.3,555.7,1.7,none,0.0,22.33,329.7
S211,Holstein,12.32,89.4,691.8,364.3,,93.7,575.3,17.2,none,0.0,20.97,258.3
S212,Holstein,13.96,113.6,708.8,457.9,,54.6,586.7,34.2,other,1.48,21.1,294.6
S213,Other,13.91,177.5,765.5,479.7,23.9,61.7,596.7,0.0,seaweed,2.23,19.66,273.4
S214,Holstein,14.54,83.4,764.0,389.8,29.3,29.2,493.6,3.9,seaweed,1.6,21.65,314.9
S215,Holstein,11.18,242.4,743.9,449.3,53.5,6.4,482.5,27.4,3-NOP,2.44,23.24,259.8
S216,Jersey,14.18,219.5,142.1,,25.8,73.7,521.8,6.4,tannin,2.19,16.62,235.7
S217,Jersey,11.95,210.4,187.1,106.9,29.1,10.2,517.1,0.0,none,0.0,17.3,206.7
S218,Holstein,12.73,143.1,301.0,175.1,,8.6,536.4,10.8,none,0.0,20.46,260.5
S219,Jersey,14.96,188.8,470.6,289.9,28.6,31.1,613.1,2.4,tannin,0.93,20.05,299.9
S220,Holstein,16.05,178.7,159.2,72.4,26.5,1.2,564.9,3.6,seaweed,1.04,14.72,236.3
S221,Holstein,11.83,194.1,670.7,331.3,42.5,43.4,586.8,41.0,nitrate,1.43,20.89,247.2
S222,Crossbred,10.57,61.8,514.2,304.6,34.7,70.8,501.5,0.0,lipid,0.66,20.64,218.1
S223,Jersey,10.76,139.3,463.4,260.8,,80.1,547.3,,nitrate,0.63,19.48,209.7
S224,Holstein,13.62,51.7,205.9,113.1,56.5,60.4,610.2,21.1,none,0.0,16.8,228.8
S225,Holstein,14.05,157.6,266.0,,,84.7,610.7,18.6,none,0.0,19.61,275.6
S226,Holstein,10.87,119.2,202.5,105.2,56.5,40.7,531.5,16.1,none,0.0,18.37,199.6
S227,Holstein,13.52,75.8,674.9,,56.1,84.9,584.7,27.7,nitrate,2.44,20.18,272.7
S228,Other,14.65,66.2,492.0,224.5,53.2,50.6,706.9,15.8,lipid,0.59,19.14,280.4
S229,Holstein,12.82,179.5,595.1,315.0,45.3,22.3,573.9,33.6,lipid,1.04,20.12,258.0
S230,Crossbred,15.14,81.9,295.2,188.6,44.8,94.4,533.4,36.1,none,0.0,19.59,296.5
S231,Holstein,14.72,258.5,346.6,159.5,45.6,27.5,564.6,39.4,lipid,1.76,19.57,288.1
S232,Crossbred,14.79,178.0,369.5,221.7,47.6,2.6,580.5,10.9,seaweed,1.52,20.79,307.6
S233,Holstein,12.64,123.2,612.1,307.0,20.7,24.3,565.9,23.7,nitrate,1.4,20.22,255.6
S234,Holstein,12.02,180.3,620.5,386.8,58.3,36.7,573.1,10.1,seaweed,0.28,20.63,248.0
S235,Holstein,10.5,47.3,234.3,,,35.1,488.4,1.7,none,0.0,18.08,189.8
S236,Holstein,12.87,266.3,736.1,461.6,51.3,52.5,517.2,31.9,none,0.0,21.83,280.9
S237,Other,15.45,154.9,175.4,86.5,35.1,88.3,566.0,24.7,other,1.47,17.34,267.9
S238,Crossbred,15.48,225.2,705.1,392.2,20.5,29.2,565.1,32.6,3-NOP,1.39,21.07,326.2
S239,Jersey,14.47,61.4,161.6,97.9,,52.1,541.0,3.9,3-NOP,1.04,13.44,194.5
S240,Holstein,13.0,155.9,273.7,136.6,,34.0,564.4,44.8,3-NOP,0.71,17.68,229.9
S241,Jersey,14.5,156.8,671.1,333.0,37.5,82.2,578.7,44.7,3-NOP,1.91,21.65,314.0
S242,Jersey,15.23,261.5,215.6,,33.6,15.8,628.4,20.9,lipid,1.32,18.29,278.4
S243,Crossbred,13.92,175.8,375.5,240.9,30.0,10.4,569.0,39.0,none,0.0,18.42,256.4
S244,Jersey,18.03,152.8,400.3,237.0,41.1,50.3,598.9,11.0,none,0.0,17.75,320.0
S245,Crossbred,10.92,104.5,260.5,150.3,35.0,67.2,542.5,33.2,nitrate,2.33,17.45,190.6
S246,Holstein,14.88,119.6,578.1,346.2,,79.6,609.3,0.0,seaweed,1.0,18.52,275.5
S247,Other,16.76,163.8,674.5,375.2,,59.0,597.5,36.7,none,0.0,20.68,346.5
S248,Holstein,13.47,144.7,690.3,376.4,,77.4,626.9,36.5,none,0.0,23.33,314.3
S249,Holstein,14.48,47.1,324.8,175.3,31.8,39.3,617.8,20.8,none,0.0,18.04,261.2
S250,Crossbred,14.46,235.4,455.6,,41.7,3.3,610.3,36.9,none,0.0,20.21,292.4
S251,Holstein,13.89,251.7,262.7,128.8,40.0,11.6,569.1,31.1,none,0.0,14.94,207.6
S252,Holstein,12.35,74.8,260.2,163.3,45.7,3.9,589.7,6.0,none,0.0,16.87,208.3
S253,Holstein,16.86,171.6,203.1,124.4,58.0,32.9,638.8,5.1,nitrate,2.32,16.11,271.6
S254,Holstein,14.4,67.4,735.0,382.2,31.4,49.5,535.9,34.7,lipid,2.27,23.51,338.5
S255,Other,14.19,199.3,699.5,395.7,47.7,35.6,537.3,28.1,lipid,1.35,22.7,322.3
S256,Crossbred,13.34,107.8,623.9,298.4,21.0,56.1,585.9,23.4,3-NOP,1.6,21.87,291.8
S257,Holstein,15.13,196.3,446.6,287.8,30.5,48.1,599.9,40.8,none,0.0,21.54,325.8
S258,Other,11.79,212.1,428.1,269.9,,67.8,525.6,0.0,other,1.18,19.3,227.5
S259,Jersey,13.76,221.9,454.8,288.5,21.2,66.7,570.5,17.8,nitrate,0.59,21.56,296.8
S260,Crossbred,17.46,67.2,459.5,237.3,,31.8,569.4,0.0,seaweed,0.15,18.25,318.7
S261,Holstein,11.2,256.3,389.8,188.6,,34.6,442.1,0.0,none,0.0,17.62,197.3
S262,Holstein,12.26,95.9,183.0,90.1,49.9,58.5,561.8,34.2,none,0.0,18.11,222.1
S263,Holstein,14.41,50.8,178.8,83.7,40.7,59.6,565.6,,seaweed,1.52,14.69,211.7
S264,Holstein,12.11,171.8,743.4,,,31.5,565.4,22.9,seaweed,0.82,22.72,275.1
S265,Crossbred,14.7,128.8,422.2,196.0,,33.0,660.0,0.0,none,0.0,19.34,284.3
S266,Holstein,10.99,236.2,744.0,482.1,21.7,69.4,502.1,31.7,other,1.05,24.21,266.1
S267,Holstein,12.47,231.1,204.7,95.2,,64.7,525.5,37.4,seaweed,0.9,17.04,212.5
S268,Jersey,11.86,116.2,471.7,224.8,,13.5,418.3,0.0,seaweed,1.63,18.75,222.5
S269,Holstein,14.52,265.0,234.9,144.6,59.8,44.1,546.1,0.0,none,0.0,18.12,263.1
S270,Holstein,14.57,110.1,265.9,150.5,20.6,89.3,551.3,23.1,nitrate,1.13,17.53,255.4
S271,Jersey,11.96,162.5,113.5,68.7,42.3,3.6,544.4,3.4,nitrate,2.44,14.48,173.2
S272,Crossbred,15.22,101.9,174.2,,50.0,85.5,641.5,30.6,none,0.0,18.09,275.5
S273,Holstein,16.07,261.0,719.2,450.5,53.1,16.3,626.6,0.0,tannin,1.56,21.71,349.0
S274,Other,13.55,80.5,312.6,180.6,,50.7,579.7,23.6,tannin,0.67,17.82,241.4
S275,Crossbred,13.4,52.5,508.4,281.8,44.8,42.4,552.8,0.0,lipid,0.25,20.1,269.3
S276,Jersey,16.58,143.8,410.6,243.3,47.9,1.0,636.6,13.5,none,0.0,20.53,340.4
S277,Holstein,13.82,274.2,366.5,197.7,54.4,91.5,573.8,9.1,lipid,1.48,18.86,260.7
S278,Crossbred,13.49,250.7,456.3,236.9,24.9,45.5,525.9,15.8,3-NOP,1.09,18.85,254.2
S279,Crossbred,14.19,217.2,220.9,120.1,57.0,95.4,472.0,18.5,none,0.0,16.09,228.3
S280,Holstein,13.46,250.4,768.2,371.8,,28.7,548.5,31.3,none,0.0,22.56,303.6
S281,Other,17.28,251.1,651.9,397.2,53.4,86.6,620.3,38.0,none,0.0,23.11,399.2
S282,Other,18.63,163.4,599.5,301.0,,92.2,711.6,0.0,none,0.0,22.88,426.3
S283,Holstein,12.27,115.9,413.2,198.6,27.8,55.7,578.7,7.8,seaweed,2.31,18.56,227.6
S284,Crossbred,11.57,222.7,197.4,98.6,20.2,20.3,529.1,0.0,nitrate,0.74,17.81,206.2
S285,Holstein,11.35,196.8,721.8,446.4,37.8,68.5,503.9,7.1,none,0.0,23.62,268.1
S286,Crossbred,13.92,129.4,326.2,168.3,33.4,54.9,608.1,30.9,other,1.78,19.83,276.1
S287,Crossbred,11.59,64.1,127.2,74.7,26.6,94.5,469.1,11.2,none,0.0,18.37,213.0
S288,Holstein,16.12,216.7,326.9,203.1,38.0,43.9,608.0,23.6,tannin,2.38,20.03,322.9
S289,Holstein,17.48,103.4,635.6,295.9,36.1,26.9,624.1,35.6,lipid,1.67,20.89,365.2
S290,Holstein,15.49,261.2,518.3,,,13.8,601.2,,lipid,0.65,18.23,282.5
S291,Other,13.38,98.4,605.8,309.9,55.7,69.9,561.8,0.0,tannin,0.6,22.33,298.7
S292,Holstein,12.1,70.7,635.1,313.3,,97.4,608.9,15.0,nitrate,2.32,22.9,277.1
S293,Crossbred,14.74,236.5,237.8,139.8,,2.8,585.3,29.4,none,0.0,18.8,277.1
S294,Holstein,13.25,77.9,723.9,457.5,,74.0,528.3,,none,0.0,24.39,323.1
S295,Holstein,17.43,83.9,392.1,199.6,56.5,92.7,686.0,4.3,3-NOP,0.36,22.04,384.0
S296,Other,17.01,182.3,529.4,298.5,,7.5,553.9,0.0,none,0.0,20.65,351.2
S297,Jersey,17.4,246.6,94.6,,36.3,11.0,621.5,23.1,3-NOP,1.35,15.48,269.4
S298,Holstein,11.92,88.0,771.5,432.7,57.7,69.2,429.9,21.3,none,0.0,21.59,257.5
S299,Holstein,14.85,114.6,284.9,163.6,58.0,64.8,651.6,8.9,lipid,0.99,18.59,276.0
S300,Holstein,15.81,223.9,135.4,77.5,36.4,6.9,663.1,0.0,lipid,0.24,15.27,241.4
S301,Holstein,14.28,269.4,406.0,233.3,46.7,83.4,576.8,15.0,nitrate,2.4,19.71,281.3
S302,Holstein,14.05,159.2,181.1,86.4,38.3,52.3,608.5,12.2,nitrate,2.49,16.79,235.9
S303,Jersey,15.96,75.7,197.0,116.0,50.1,90.7,608.5,25.5,none,0.0,18.4,293.7
S304,Holstein,13.95,45.3,524.8,,21.3,87.8,536.4,20.8,none,0.0,20.95,292.2
S305,Holstein,13.56,95.7,361.4,211.9,25.8,81.3,607.8,,tannin,0.5,20.39,276.6
S306,Holstein,14.96,72.8,722.6,,44.6,51.6,526.5,0.0,tannin,0.47,19.18,286.8
S307,Holstein,13.62,200.6,311.0,167.7,29.3,25.2,538.5,0.0,3-NOP,0.28,18.13,246.9
S308,Other,13.47,70.5,589.0,313.2,46.6,50.6,642.6,4.5,seaweed,1.04,22.12,298.1
S309,Holstein,15.76,160.5,407.9,190.6,,10.1,633.5,35.3,seaweed,0.23,20.87,329.0
S310,Holstein,13.74,204.5,543.7,268.9,,65.9,532.6,44.8,none,0.0,21.8,299.5
S311,Jersey,14.73,178.0,502.6,270.5,,13.4,531.0,38.9,none,0.0,21.75,320.4
S312,Other,12.9,88.7,415.9,249.0,,51.1,536.3,1.1,3-NOP,1.85,19.07,246.0
S313,Crossbred,16.72,230.2,741.9,369.0,,5.4,619.0,11.3,tannin,2.1,21.75,363.6
S314,Crossbred,13.16,209.4,327.1,201.5,30.8,30.0,515.0,2.0,other,1.75,18.77,246.9
S315,Other,12.94,214.9,214.1,,39.8,23.2,596.4,36.9,seaweed,0.58,16.72,216.4
S316,Jersey,13.37,72.7,556.1,334.8,27.9,62.0,619.8,26.2,nitrate,1.94,19.76,264.3
S317,Other,15.93,71.0,670.8,365.3,54.4,78.7,569.7,,nitrate,0.7,21.67,345.1
S318,Holstein,17.68,259.0,120.5,66.3,52.9,5.7,635.6,25.0,none,0.0,14.46,255.6
S319,Crossbred,14.4,135.0,400.1,229.6,,85.0,556.7,11.4,tannin,1.46,20.24,291.4
S320,Crossbred,16.3,112.4,702.6,446.5,55.1,86.1,562.2,27.1,seaweed,0.98,22.39,364.9
S321,Other,14.49,156.3,605.0,331.8,58.4,34.2,516.4,1.4,seaweed,0.3,20.5,297.1
S322,Holstein,16.93,197.1,770.4,428.1,29.1,65.9,636.0,0.0,none,0.0,22.51,381.1
S323,Crossbred,11.86,265.6,456.0,260.1,57.3,40.3,529.0,33.0,lipid,2.36,20.03,237.6
S324,Holstein,17.5,109.0,543.8,324.9,42.8,15.4,596.0,30.3,other,1.7,21.02,367.8
S325,Jersey,15.07,258.4,299.6,139.1,,52.9,570.7,14.9,none,0.0,16.93,255.2
S326,Holstein,12.22,47.8,740.2,409.4,42.4,8.6,511.8,37.2,none,0.0,20.49,250.3
S327,Jersey,12.46,171.9,343.2,187.5,,87.8,538.5,32.2,none,0.0,20.4,254.1
S328,Jersey,16.83,190.4,597.4,379.0,,92.4,658.0,5.8,nitrate,1.85,19.93,335.5
S329,Holstein,12.17,66.8,368.3,,,82.2,587.1,8.8,tannin,0.94,19.96,242.9
S330,Holstein,13.91,74.8,476.7,259.2,,56.3,514.5,28.7,none,0.0,22.05,306.8
S331,Holstein,13.4,140.1,584.6,375.6,39.9,55.8,593.3,13.0,nitrate,0.48,23.05,309.0
S332,Jersey,14.71,268.1,440.6,,55.5,98.5,566.2,5.4,3-NOP,2.44,20.54,302.1
S333,Jersey,17.97,181.5,712.5,346.4,,24.8,750.0,7.0,3-NOP,1.84,22.3,400.6
S334,Crossbred,14.41,260.3,379.4,187.2,40.8,7.6,592.1,,3-NOP,0.74,20.89,300.9
S335,Holstein,12.67,230.2,535.0,250.9,37.1,56.2,552.2,0.0,seaweed,0.99,17.44,221.0
S336,Crossbred,16.26,151.4,326.8,147.1,38.6,32.9,660.2,27.3,seaweed,1.11,17.2,279.8
S337,Jersey,14.45,225.6,371.8,199.4,28.4,32.2,464.5,7.9,none,0.0,19.72,284.9
S338,Holstein,16.59,46.2,393.6,237.6,52.9,0.7,580.7,0.0,3-NOP,2.32,17.34,287.8
S339,Holstein,17.9,67.5,178.9,,27.9,59.6,694.7,12.6,lipid,0.87,18.58,332.6
S340,Holstein,14.16,236.1,155.6,71.0,48.7,26.4,568.0,14.0,seaweed,1.23,15.85,224.5
S341,Holstein,13.04,228.5,548.9,309.6,50.4,18.8,471.0,10.1,lipid,1.52,20.28,264.4
S342,Holstein,15.48,96.4,540.7,260.0,43.0,4.0,551.2,35.3,seaweed,1.04,19.17,296.7
S343,Holstein,15.31,166.2,545.8,348.3,54.5,36.4,662.3,43.2,nitrate,1.31,19.68,301.4
S344,Holstein,14.82,183.8,106.5,51.5,,87.9,597.6,22.2,none,0.0,16.23,240.5
S345,Holstein,10.38,245.1,316.0,181.8,55.3,33.7,524.7,1.9,nitrate,0.5,18.42,191.2
S346,Holstein,15.03,183.1,228.1,117.5,49.2,67.9,533.9,11.7,none,0.0,16.87,253.6
S347,Crossbred,16.63,138.5,624.5,361.1,51.9,75.7,541.4,7.1,none,0.0,23.02,382.9
S348,Holstein,15.04,129.6,680.8,362.5,46.6,32.8,596.7,37.9,none,0.0,22.58,339.6
S349,Holstein,13.19,141.7,261.5,157.4,53.9,82.2,655.3,3.8,none,0.0,19.67,259.5
S350,Jersey,16.87,194.6,549.1,272.4,,69.2,638.1,43.5,lipid,1.88,19.49,328.7
S351,Holstein,13.7,245.0,181.4,114.5,36.8,55.9,602.4,0.0,other,2.38,14.99,205.5
S352,Holstein,11.38,148.2,280.9,154.5,52.6,0.1,495.1,23.3,nitrate,1.2,17.13,194.9
